,deg,mu,partition,acc_measure,acc_value
313,20,0.9,Leiden-MOD,ARI,-5.04E-05
314,20,0.9,ECG,NMI,0.01657899
315,20,0.9,ECG,ARI,-0.000840281
316,20,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.018043175
317,20,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,-0.000191759
318,20,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.027074319
319,20,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.000367186
320,20,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.538869272
321,20,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-4.36E-05
322,20,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.560319514
323,20,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-6.04E-06
,5,0.1,FastConsensus(Louvain),NMI,0.806008745
,5,0.1,FastConsensus(Louvain),ARI,0.20072287
,5,0.2,FastConsensus(Louvain),NMI,0.779398037
,5,0.2,FastConsensus(Louvain),ARI,0.094536133
,5,0.3,FastConsensus(Louvain),NMI,0.719808222
,5,0.3,FastConsensus(Louvain),ARI,0.056566369
,5,0.4,FastConsensus(Louvain),NMI,0.704130851
,5,0.4,FastConsensus(Louvain),ARI,0.035132759
,5,0.5,FastConsensus(Louvain),NMI,0.695635144
,5,0.5,FastConsensus(Louvain),ARI,0.022787397
,5,0.6,FastConsensus(Louvain),NMI,0.671054104
,5,0.6,FastConsensus(Louvain),ARI,0.013692039
,5,0.7,FastConsensus(Louvain),NMI,0.663626948
,5,0.7,FastConsensus(Louvain),ARI,0.010733056
,5,0.8,FastConsensus(Louvain),NMI,0.643850189
,5,0.8,FastConsensus(Louvain),ARI,0.002468492
,5,0.9,FastConsensus(Louvain),NMI,0.634224384
,5,0.9,FastConsensus(Louvain),ARI,0.000100673
,10,0.1,FastConsensus(Louvain),NMI,0.884007684
,10,0.1,FastConsensus(Louvain),ARI,0.675225712
,10,0.2,FastConsensus(Louvain),NMI,0.901342002
,10,0.2,FastConsensus(Louvain),ARI,0.747664439
,10,0.3,FastConsensus(Louvain),NMI,0.788858898
,10,0.3,FastConsensus(Louvain),ARI,0.26010921
,10,0.6,FastConsensus(Louvain),NMI,0.293434567
,10,0.6,FastConsensus(Louvain),ARI,0.028415373
,10,0.7,FastConsensus(Louvain),NMI,0.469224844
,10,0.7,FastConsensus(Louvain),ARI,0.005927911
,10,0.9,FastConsensus(Louvain),NMI,0.507005014
,10,0.9,FastConsensus(Louvain),ARI,4.67E-05
,20,0.1,FastConsensus(Louvain),NMI,0.782544792
,20,0.1,FastConsensus(Louvain),ARI,0.442135388
,20,0.2,FastConsensus(Louvain),NMI,1
,20,0.2,FastConsensus(Louvain),ARI,1
,20,0.3,FastConsensus(Louvain),NMI,0.993203986
,20,0.3,FastConsensus(Louvain),ARI,0.993122759
,20,0.4,FastConsensus(Louvain),NMI,0.697195648
,20,0.4,FastConsensus(Louvain),ARI,0.252314922
,20,0.5,FastConsensus(Louvain),NMI,
,20,0.5,FastConsensus(Louvain),ARI,
,20,0.6,FastConsensus(Louvain),NMI,0.259137429
,20,0.6,FastConsensus(Louvain),ARI,0.094097349
,20,0.7,FastConsensus(Louvain),NMI,0.089641588
,20,0.7,FastConsensus(Louvain),ARI,0.005756225
,20,0.8,FastConsensus(Louvain),NMI,0.030911064
,20,0.8,FastConsensus(Louvain),ARI,0.000769457
,20,0.9,FastConsensus(Louvain),NMI,0.030999793
,20,0.9,FastConsensus(Louvain),ARI,-0.000430707
,5,0.1,ECG,AMI,0.949802235
,5,0.2,ECG,AMI,0.697966324
,5,0.3,ECG,AMI,0.264730346
,5,0.4,ECG,AMI,0.189961696
,5,0.5,ECG,AMI,0.152462135
,5,0.6,ECG,AMI,0.092676671
,5,0.7,ECG,AMI,0.070538669
,5,0.8,ECG,AMI,0.018503358
,5,0.9,ECG,AMI,0.001611548
,20,0.1,ECG,AMI,1
,20,0.2,ECG,AMI,0.999076518
,20,0.3,ECG,AMI,0.993900273
,20,0.4,ECG,AMI,0.943912196
,20,0.5,ECG,AMI,0.73066325
,20,0.6,ECG,AMI,0.322479667
,20,0.7,ECG,AMI,0.070926477
,20,0.8,ECG,AMI,0.017644906
,20,0.9,ECG,AMI,0.000684621
,10,0.1,ECG,AMI,0.997628373
,10,0.2,ECG,AMI,0.995882859
,10,0.3,ECG,AMI,0.970597135
