net,type,res,acc_value,acc_measure
open_citations,FastEnsemble,0.1,0.935905038,AMI
open_citations,FastEnsemble,0.5,0.000711545,AMI
cit_hepph,Leiden,0.0001,0.67874404,AMI
cit_hepph,Leiden,0.001,0.991172384,AMI
cit_hepph,Leiden,0.01,0.996067024,AMI
cit_hepph,Leiden,0.1,0.387037061,AMI
cit_hepph,Leiden,0.5,0.065983414,AMI
cit_hepph,FastEnsemble,0.0001,0.949273869,AMI
cit_hepph,FastEnsemble,0.001,0.995466595,AMI
cit_hepph,FastEnsemble,0.01,0.996314686,AMI
cit_hepph,FastEnsemble,0.1,0.047681999,AMI
cit_hepph,FastEnsemble,0.5,-6.98E-11,AMI
cit_patents,Leiden,0.0001,0.680183842,AMI
cit_patents,Leiden,0.001,0.84795205,AMI
cit_patents,Leiden,0.01,0.921631652,AMI
cit_patents,Leiden,0.1,,AMI
cit_patents,Leiden,0.5,,AMI
cit_patents,FastEnsemble,0.0001,0.98453096,AMI
cit_patents,FastEnsemble,0.001,0.999289616,AMI
cit_patents,FastEnsemble,0.01,0.957431688,AMI
cit_patents,FastEnsemble,0.1,0.958772671,AMI
cit_patents,FastEnsemble,0.5,,AMI
wiki_topcats,Leiden,0.0001,0.968540744,AMI
wiki_topcats,Leiden,0.001,0.967964271,AMI
wiki_topcats,Leiden,0.01,0.903739121,AMI
wiki_topcats,Leiden,0.1,0.919273996,AMI
wiki_topcats,FastEnsemble,0.0001,0.988801279,AMI
wiki_topcats,FastEnsemble,0.001,0.987465247,AMI
wiki_topcats,FastEnsemble,0.01,0.942287926,AMI
wiki_topcats,FastEnsemble,0.1,0.930137495,AMI
