,n,mu,partition,acc_measure,acc_value
285,100000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.105443008
286,100000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.7003708
287,100000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.067649567
288,100000,0.7,Leiden-MOD,NMI,0.041325319
289,100000,0.7,Leiden-MOD,ARI,0.001028091
290,100000,0.7,ECG,NMI,0.088727092
291,100000,0.7,ECG,ARI,0.003174443
292,100000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.077151182
293,100000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.002672987
294,100000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.093256017
295,100000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.003691198
296,100000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.672130636
297,100000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.011888894
298,100000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.68723635
299,100000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.00667162
300,100000,0.8,Leiden-MOD,NMI,0.019236708
301,100000,0.8,Leiden-MOD,ARI,7.77E-05
302,100000,0.8,ECG,NMI,0.061723189
303,100000,0.8,ECG,ARI,0.000186885
304,100000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.033030207
305,100000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.000196884
306,100000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.062761774
307,100000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.000266591
308,100000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.670485098
309,100000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.000365235
